item_id,fold,model,mae,rmse,status
HOBBIES_1_256,1,LightGBM,2.1185775809484144,5.47020786712763,success
HOBBIES_1_256,1,StackingEnsemble,2.1185775809484153,5.47020786712763,success
HOBBIES_1_256,2,SARIMAX,3.323069156273497,4.661453710423579,success
HOBBIES_1_256,2,LSTM,3.399087429046631,4.629698763578413,success
HOBBIES_1_256,2,LightGBM,2.301839731056231,5.307579760329751,success
HOBBIES_1_256,2,StackingEnsemble,2.301839731056231,5.307579760329751,success
HOBBIES_1_256,3,SARIMAX,5.157227850406267,7.28676435176956,success
HOBBIES_1_256,3,LSTM,4.990531921386719,7.254796250345919,success
HOBBIES_1_256,3,LightGBM,1.963987338739478,5.4828186584225405,success
HOBBIES_1_256,3,StackingEnsemble,1.9696178777940048,5.469897645930744,success
HOBBIES_1_256,4,SARIMAX,4.5499246921399275,5.780254110229462,success
HOBBIES_1_256,4,LSTM,3.89644455909729,5.3368508938107455,success
HOBBIES_1_256,4,LightGBM,1.8216457124717382,5.453630979102058,success
HOBBIES_1_256,4,StackingEnsemble,1.8216457124717391,5.453630979102054,success
HOBBIES_1_256,5,SARIMAX,4.761842886573614,6.692053212001329,success
HOBBIES_1_256,5,LSTM,5.236053466796875,6.770855368553888,success
HOBBIES_1_256,5,LightGBM,1.7501860929009005,5.282396118424704,success
HOBBIES_1_256,5,StackingEnsemble,1.8000264429684145,5.134346442641912,success
